Date,Open,High,Low,Close,Adj Close,Volume
2009-05-19,116.505600,119.594101,115.047096,119.594101,99.763367,27925426
2009-05-20,119.765602,120.709396,117.535103,118.392998,98.761406,19075019
2009-05-21,117.020302,117.363503,112.730698,113.331200,94.538948,16750095
2009-05-22,114.532303,114.532303,111.615402,112.644897,93.966469,15465101
2009-05-26,111.529602,112.387497,109.470596,111.787003,93.250816,26305861
2009-05-27,112.044403,112.902298,109.556396,110.843300,92.463600,29456328
2009-05-28,109.642197,111.186401,108.441101,109.642197,91.461647,21075980
2009-05-29,110.843300,113.502800,110.671700,112.559097,93.894882,45634824
2009-06-01,114.446503,115.218697,112.730698,113.760201,94.896805,14368992
2009-06-02,113.931801,114.446503,112.473297,113.674400,94.825249,13045445
2009-06-03,113.588600,114.017601,111.358002,112.301697,93.680168,12591947
2009-06-04,112.215897,113.760201,110.242699,110.843300,92.463600,16785480
2009-06-05,111.787003,114.103401,111.100700,112.988098,94.252747,21790262
2009-06-08,114.703903,115.904999,113.519997,115.132896,96.041901,23205210
2009-06-09,114.961304,116.591301,112.988098,113.931801,95.039970,13500974
2009-06-10,115.475998,116.677101,113.245499,113.760201,94.896805,13200369
2009-06-11,113.245499,115.733398,113.245499,115.218697,96.113487,14314391
2009-06-12,115.132896,116.677101,114.360703,114.446503,95.469307,13394000
2009-06-15,114.275002,114.275002,111.872803,112.130203,93.537102,15273542
2009-06-16,112.473297,114.017601,111.529602,113.674400,94.825249,17068053
2009-06-17,113.674400,116.591301,113.417000,115.733398,96.542831,29877844
2009-06-18,116.162399,118.392998,115.904999,117.706596,98.188843,24329245
2009-06-19,118.221397,119.937202,116.677101,119.765602,99.906448,29685467
2009-06-22,119.508301,120.108803,117.535103,118.307198,98.689842,16112720
2009-06-23,117.963997,118.221397,114.961304,115.990799,96.757545,22352558
2009-06-24,116.419800,120.108803,116.076599,120.023003,100.121140,17301233
2009-06-25,119.422501,122.082001,117.535103,121.052498,100.979927,33161739
2009-06-26,121.567299,124.226799,120.537804,121.138298,101.051498,21550712
2009-06-29,120.623596,126.800598,120.623596,125.513702,104.701401,28627874
2009-06-30,124.913200,125.342102,123.197304,124.055298,103.484810,68097168
2009-07-01,124.741600,127.830101,123.712097,126.628998,105.631752,35940895
2009-07-02,125.942703,128.001694,124.827400,125.342102,104.558250,48504824
2009-07-03,125.084801,125.856903,124.055298,124.398399,103.771034,15888066
2009-07-06,122.511002,123.368896,121.653099,123.111504,102.697510,24706386
2009-07-07,124.055298,124.570000,122.099197,123.797897,103.270088,24544530
2009-07-08,122.768402,123.712097,120.795197,121.481499,101.337807,26362495
2009-07-09,121.910400,122.511002,120.623596,121.138298,101.051498,21006574
2009-07-10,120.108803,121.481499,118.907700,120.023003,100.121140,20369819
2009-07-13,119.422501,122.768402,119.182297,122.768402,102.411316,12793953
2009-07-14,123.712097,124.484200,121.738899,124.484200,103.842598,11862410
2009-07-15,125.084801,128.344894,124.741600,128.344894,107.063133,13186866
2009-07-16,128.001694,128.945404,126.714798,127.744301,106.562126,17955294
2009-07-17,129.031204,131.261795,124.570000,125.170502,104.415108,31889129
2009-07-20,125.256302,127.761497,124.999001,127.315300,106.204239,28608374
2009-07-21,127.143799,131.862305,127.143799,130.232300,108.637558,26469857
2009-07-22,130.575394,130.918594,127.486900,128.001694,106.776840,32717411
2009-07-23,128.259094,128.688004,126.114304,128.173294,106.919975,26187613
2009-07-24,127.486900,129.974899,126.972198,129.717499,108.208122,28766366
2009-07-27,130.060699,130.232300,127.915901,128.259094,106.991562,16595681
2009-07-28,128.001694,129.460098,126.200104,126.200104,105.273979,27712268
2009-07-29,126.800598,129.545898,126.285797,128.773804,107.420914,17246470
2009-07-30,132.119705,143.529999,130.403900,140.012604,116.796120,77280988
2009-07-31,140.269897,143.101105,139.154694,142.157394,118.585274,30655014
2009-08-03,143.787399,144.645294,142.414703,144.199203,120.288528,23856074
2009-08-04,144.302200,145.091507,139.532104,141.556793,118.084244,23503291
2009-08-05,140.630295,143.581497,140.630295,143.409897,119.630104,22988156
2009-08-06,144.439407,146.601395,144.061996,145.537598,121.404984,18438393
2009-08-07,142.380402,145.640503,140.561600,145.640503,121.490845,22813131
2009-08-10,144.885605,146.704407,144.576706,146.052307,121.834335,10592150
2009-08-11,145.537598,146.669998,142.414703,143.547195,119.744652,20952845
2009-08-12,143.341293,146.567093,142.895203,145.434601,121.319069,11358372
2009-08-13,146.223907,150.650803,145.400299,150.341904,125.412674,34294218
2009-08-14,149.792892,151.920502,148.488800,149.278107,124.525284,19072131
2009-08-17,148.145706,150.101700,146.189606,147.287704,122.864899,22320836
2009-08-18,148.042694,148.351593,145.160095,147.425003,122.979431,15840588
2009-08-19,146.738693,147.459305,144.508102,146.772995,122.435524,10190125
2009-08-20,147.356400,149.587006,146.669998,149.175201,124.439415,17664609
2009-08-21,148.420197,153.224503,148.420197,153.224503,127.817276,21645633
2009-08-24,153.499100,156.690506,153.499100,155.214905,129.477615,16322011
2009-08-25,153.224503,155.729706,152.709793,155.489502,129.706696,15712085
2009-08-26,155.112000,156.553299,153.910904,155.386505,129.620789,14142767
2009-08-27,154.288406,158.269104,153.773605,155.077698,129.363220,27346028
2009-08-28,155.729706,158.440704,154.425598,155.352203,129.592163,25840063
2009-09-01,154.562897,155.832596,152.263702,152.984299,127.616913,22473895
2009-09-02,153.121597,153.293198,150.582199,151.337097,126.242821,30638273
2009-09-03,151.783203,155.249207,151.645996,152.366592,127.101608,21230781
2009-09-04,152.709793,157.788696,152.709793,155.832596,129.992874,17757065
2009-09-07,156.930801,162.249893,156.518997,160.568298,133.943298,16164342
2009-09-08,160.602707,161.289001,156.587601,158.131897,131.910919,18044804
2009-09-09,157.822998,163.279404,157.342606,162.798904,135.804031,20527409
2009-09-10,162.970505,163.107803,160.465393,161.632202,134.830856,16142705
2009-09-11,161.666504,162.421494,158.406403,159.676102,133.199066,23103184
2009-09-14,159.470200,160.911499,158.097504,160.911499,134.229614,12681052
2009-09-15,161.666504,161.769394,160.431107,161.289001,134.544510,10353978
2009-09-16,162.798904,165.750198,161.220398,165.235397,137.836548,19135363
2009-09-17,166.059006,169.250504,164.377502,168.701401,140.727844,17997352
2009-09-18,168.804398,172.098801,167.912094,171.000702,142.645889,48041434
2009-09-21,169.868195,169.868195,165.304092,166.436493,138.838455,25672732
2009-09-22,165.887497,167.637604,163.142105,163.210693,136.147568,21749183
2009-09-23,163.004807,165.647202,162.524399,164.720703,137.407211,19755968
2009-09-24,164.823593,165.063797,162.078293,162.730301,135.746872,26022551
2009-09-25,162.730301,163.553894,160.259506,160.259506,133.685745,21394890
2009-09-28,159.710403,161.769394,156.244400,160.842896,134.172394,25011916
2009-09-29,160.705597,164.720703,159.264297,163.313705,136.233490,22109782
2009-09-30,163.691193,164.514801,159.367294,161.563507,134.773529,18482887
2009-10-01,162.387100,163.622498,159.161407,159.298599,132.884201,16266332
2009-10-02,157.548492,157.960297,152.847107,154.734497,129.076859,34046456
2009-10-05,155.523804,156.313095,152.812698,156.313095,130.393738,14105392
2009-10-06,159.882004,163.382294,158.989807,163.107803,136.061768,18517281
2009-10-07,162.112595,165.132507,161.289001,163.725494,136.577026,18866565
2009-10-08,167.054199,167.466003,163.931396,165.544296,138.094254,9897825
2009-10-09,165.063797,167.397400,164.343201,167.054199,139.353775,20596929
2009-10-12,167.671906,168.770096,166.196304,166.642395,139.010208,13834930
2009-10-13,166.470795,166.573807,164.034302,164.205902,136.977768,18415908
2009-10-14,165.990402,168.220993,164.960907,166.951294,139.267914,17344544
2009-10-15,168.015106,168.152405,165.681595,166.299301,138.724045,12400391
2009-10-16,167.225800,167.500305,164.789307,165.921799,138.409103,18066321
2009-10-19,167.191498,168.735703,166.264893,168.117996,140.241211,9721332
2009-10-20,167.877808,168.975998,166.196304,166.951294,139.267914,7220054
2009-10-21,167.809204,167.809204,163.519608,165.887497,138.380554,12098026
2009-10-22,165.029495,165.029495,161.700806,162.421494,135.489273,19312704
2009-10-23,163.691193,165.132507,162.455795,162.695999,135.718201,8902491
2009-10-26,162.798904,163.210693,159.847702,160.328094,133.742981,10909484
2009-10-27,161.151703,161.151703,159.229996,159.916306,133.399445,20779717
2009-10-28,158.543701,158.646606,152.160706,152.675507,129.020554,23666479
2009-10-29,152.675507,158.337799,151.645996,157.822998,133.370499,20789814
2009-10-30,158.440704,159.813400,154.425598,155.043304,131.021439,16702731
2009-11-02,154.494293,156.450302,152.675507,155.009003,130.992462,11348723
2009-11-03,153.396103,153.396103,149.106506,152.057800,128.498535,23874453
2009-11-04,153.807907,156.724899,152.881393,156.518997,132.268509,17577628
